"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness","condition","patch1","hex_distance"
"952",10,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",17,"target",5,0.294117647058824,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"953",9,"5","4","Similar","orange",10,"red","20","stingless",33,"target",11,0.333333333333333,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"954",9,"7","5","control","orange",10,"orange","10","stingless",17,"target",8,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"955",9,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",12,"target",1,0.0833333333333333,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"956",8,"5","4","Similar","orange",10,"red","20","stingless",32,"target",14,0.4375,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"957",8,"4","4","Similar","orange",10,"red","20","stingless",21,"target",8,0.380952380952381,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"958",7,"4","4","Similar","orange",10,"red","20","stingless",19,"target",8,0.421052631578947,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"959",8,"7","5","control","orange",10,"orange","10","stingless",16,"target",8,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"960",6,"4","4","Similar","orange",10,"red","20","stingless",20,"target",7,0.35,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"961",5,"4","4","Similar","orange",10,"red","20","stingless",19,"target",7,0.368421052631579,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"962",8,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",16,"target",2,0.125,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"963",4,"4","4","Similar","orange",10,"red","20","stingless",13,"target",7,0.538461538461538,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"964",7,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",17,"target",5,0.294117647058824,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"965",3,"4","4","Similar","orange",10,"red","20","stingless",10,"target",3,0.3,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"966",2,"4","4","Similar","orange",10,"red","20","stingless",7,"target",2,0.285714285714286,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"967",1,"4","4","Similar","orange",10,"red","20","stingless",7,"target",3,0.428571428571429,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"968",7,"5","4","Similar","orange",10,"red","20","stingless",17,"target",7,0.411764705882353,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"969",7,"7","5","control","orange",10,"orange","10","stingless",20,"target",10,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"970",6,"5","4","Similar","orange",10,"red","20","stingless",21,"target",10,0.476190476190476,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"971",6,"7","5","control","orange",10,"orange","10","stingless",18,"target",9,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"972",6,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",15,"target",5,0.333333333333333,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"973",5,"5","4","Similar","orange",10,"red","20","stingless",35,"target",14,0.4,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"974",5,"7","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"975",4,"7","5","control","orange",10,"orange","10","stingless",21,"target",10,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"976",3,"7","5","control","orange",10,"orange","10","stingless",19,"target",10,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"977",2,"7","5","control","orange",10,"orange","10","stingless",14,"target",7,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"978",5,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",11,"target",2,0.181818181818182,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"979",1,"7","5","control","orange",10,"orange","10","stingless",9,"target",4,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"980",4,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",9,"target",2,0.222222222222222,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"981",4,"5","4","Similar","orange",10,"red","20","stingless",33,"target",13,0.393939393939394,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"982",3,"5","4","Similar","orange",10,"red","20","stingless",45,"target",18,0.4,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"983",3,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",7,"target",2,0.285714285714286,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"984",2,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",4,"target",1,0.25,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"985",2,"5","4","Similar","orange",10,"red","20","stingless",47,"target",27,0.574468085106383,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"986",1,"5","4","Similar","orange",10,"red","20","stingless",41,"target",25,0.609756097560976,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"987",12,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",25,"target",12,0.48,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"988",11,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",31,"target",13,0.419354838709677,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"989",10,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",29,"target",13,0.448275862068966,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"990",9,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",23,"target",12,0.521739130434783,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"991",8,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",25,"target",13,0.52,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"992",6,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",17,"target",8,0.470588235294118,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"993",12,"3","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"994",10,"3","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"995",11,"3","5","control","orange",10,"orange","10","stingless",16,"target",8,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"996",9,"3","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"997",7,"3","5","control","orange",10,"orange","10","stingless",14,"target",7,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"998",8,"3","5","control","orange",10,"orange","10","stingless",14,"target",7,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"999",6,"3","5","control","orange",10,"orange","10","stingless",10,"target",5,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"1000",5,"3","5","control","orange",10,"orange","10","stingless",12,"target",6,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"1001",1,"3","5","control","orange",10,"orange","10","stingless",9,"target",4,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"1002",2,"3","5","control","orange",10,"orange","10","stingless",12,"target",6,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"1003",4,"3","5","control","orange",10,"orange","10","stingless",12,"target",6,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"1004",3,"3","5","control","orange",10,"orange","10","stingless",12,"target",6,1,"2025-02-04","10:10",26,"","3_5","control","control_control",NA,0
"1005",5,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",20,"target",9,0.45,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"1006",4,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",17,"target",9,0.529411764705882,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"1007",3,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",19,"target",9,0.473684210526316,"2025-02-05","12:54",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"1008",2,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",15,"target",6,0.4,"2025-02-05","12:56",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"1009",1,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",14,"target",6,0.428571428571429,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"1010",12,"5","3","Similar","orange",10,"yellow","40","stingless",110,"target",11,0.1,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1011",11,"5","3","Similar","orange",10,"yellow","40","stingless",112,"target",5,0.0446428571428571,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1012",10,"5","3","Similar","orange",10,"yellow","40","stingless",112,"target",8,0.0714285714285714,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1013",9,"5","3","Similar","orange",10,"yellow","40","stingless",97,"target",8,0.0824742268041237,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1014",8,"5","3","Similar","orange",10,"yellow","40","stingless",99,"target",6,0.0606060606060606,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1015",9,"4","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1016",12,"4","5","control","orange",10,"orange","10","stingless",12,"target",6,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1017",11,"4","5","control","orange",10,"orange","10","stingless",16,"target",8,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1018",10,"4","5","control","orange",10,"orange","10","stingless",19,"target",10,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1019",8,"4","5","control","orange",10,"orange","10","stingless",22,"target",11,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1020",12,"6","4","Similar","orange",10,"red","20","stingless",51,"target",27,0.529411764705882,"2025-02-05","09:55",28,"","6_4","low","low_Similar","orange",0.20124656
"1021",7,"5","3","Similar","orange",10,"yellow","40","stingless",108,"target",2,0.0185185185185185,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1022",6,"5","3","Similar","orange",10,"yellow","40","stingless",92,"target",4,0.0434782608695652,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1023",5,"5","3","Similar","orange",10,"yellow","40","stingless",87,"target",6,0.0689655172413793,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1024",4,"5","3","Similar","orange",10,"yellow","40","stingless",81,"target",6,0.0740740740740741,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1025",3,"5","3","Similar","orange",10,"yellow","40","stingless",77,"target",7,0.0909090909090909,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1026",2,"5","3","Similar","orange",10,"yellow","40","stingless",50,"target",9,0.18,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1027",1,"5","3","Similar","orange",10,"yellow","40","stingless",25,"target",3,0.12,"2025-02-05","09:58",28,"","5_3","high","high_Similar","orange",0.1086285
"1028",11,"6","4","Similar","orange",10,"red","20","stingless",52,"target",34,0.653846153846154,"2025-02-05","09:55",28,"","6_4","low","low_Similar","orange",0.20124656
"1029",10,"6","4","Similar","orange",10,"red","20","stingless",57,"target",37,0.649122807017544,"2025-02-05","09:55",28,"","6_4","low","low_Similar","orange",0.20124656
"1030",9,"6","4","Similar","orange",10,"red","20","stingless",66,"target",40,0.606060606060606,"2025-02-05","09:55",28,"","6_4","low","low_Similar","orange",0.20124656
"1031",8,"6","4","Similar","orange",10,"red","20","stingless",60,"target",34,0.566666666666667,"2025-02-05","09:55",28,"","6_4","low","low_Similar","orange",0.20124656
"1032",7,"4","5","control","orange",10,"orange","10","stingless",26,"target",13,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1033",5,"4","5","control","orange",10,"orange","10","stingless",14,"target",7,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1034",6,"4","5","control","orange",10,"orange","10","stingless",16,"target",8,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1035",4,"4","5","control","orange",10,"orange","10","stingless",17,"target",8,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1036",3,"4","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1037",2,"4","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-05","09:54",27,"","4_5","control","control_control",NA,0
"1038",1,"4","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-05","09:54",27,"SD card #3 / camera V11","4_5","control","control_control",NA,0
"1039",7,"6","4","Similar","orange",10,"red","20","stingless",47,"target",31,0.659574468085106,"2025-02-05","09:55",28,"","6_4","low","low_Similar","orange",0.20124656
"1040",6,"6","4","Similar","orange",10,"red","20","stingless",75,"target",40,0.533333333333333,"2025-02-05","09:55",28,"","6_4","low","low_Similar","orange",0.20124656
