"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness"
"155",12,"13","5","control","orange",10,"orange","10","stingless",5,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
"156",12,"13","5","control","orange",10,"orange","10","honeybee",5,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
"157",12,"11","3","Similar","orange",10,"yellow","40","stingless",15,"target",3,0.2,"2025-02-26","12:22",26,"","11_3","high"
"158",12,"11","3","Similar","orange",10,"yellow","40","honeybee",15,"target",0,0.2,"2025-02-26","12:22",26,"","11_3","high"
"159",12,"11","3","Similar","orange",10,"yellow","40","stingless",15,"companion",12,0.2,"2025-02-26","12:22",26,"","11_3","high"
"160",12,"11","3","Similar","orange",10,"yellow","40","honeybee",15,"companion",0,0.2,"2025-02-26","12:22",26,"","11_3","high"
"161",11,"13","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:17",26,"","13_5","control"
"162",11,"13","5","control","orange",10,"orange","10","honeybee",2,"target",0,1,"2025-02-26","12:17",26,"","13_5","control"
"163",11,"13","5","control","orange",10,"orange","10","stingless",2,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
"164",11,"13","5","control","orange",10,"orange","10","honeybee",2,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
"165",10,"10","3","Similar","orange",10,"yellow","40","stingless",12,"target",5,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
"166",10,"10","3","Similar","orange",10,"yellow","40","honeybee",12,"target",0,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
"167",10,"10","3","Similar","orange",10,"yellow","40","stingless",12,"companion",7,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
"168",10,"10","3","Similar","orange",10,"yellow","40","honeybee",12,"companion",0,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
"169",12,"10","3","Similar","orange",10,"yellow","40","stingless",12,"target",5,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
"170",12,"10","3","Similar","orange",10,"yellow","40","honeybee",12,"target",0,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
"171",12,"10","3","Similar","orange",10,"yellow","40","stingless",12,"companion",7,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
"172",12,"10","3","Similar","orange",10,"yellow","40","honeybee",12,"companion",0,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high"
